//======================================
// NORMAL DROP
//======================================

0
//EventName  DropZen  ItemDropRate  ItemDropCount  ItemDropType  Fireworks
"EventName"  1000  100  1  1  0
end

1
//Item  MinLvl  MaxLvl  Skill  Luck  Opt  Exce  Comment
end

//======================================
//ADVANCED DROP
//======================================

2
//Index  DropRate
0  10000
end

3
//Index  Section  SectionRate  MoneyAmount  OptionValue  DW  DK  FE  MG
0  4  10000  0  0  1  1  1  1
end

4
//ItemType  ItemIndex  ItemLevel  ItemGrade  LevelRate  SkillRate  LuckRate  OptionRate  ExcellentRate  Comment
0  0  0  0  3  5  7  13  15  //Kris
0  1  0  0  3  5  7  13  15  //Short Sword
0  2  0  0  3  5  7  13  15  //Rapier
0  4  0  0  3  5  7  13  15  //Sword of Assassin
1  0  0  0  3  5  7  13  15  //Small Axe
5  0  0  0  3  5  7  13  15  //Skull Staff
5  1  0  0  3  5  7  13  15  //Angelic Staff
5  2  0  0  3  5  7  13  15  //Serpent Staff
5  3  0  0  3  5  7  13  15  //Thunder Staff
5  4  0  0  3  5  7  13  15  //Gorgon Staff
5  6  0  0  3  5  7  13  15  //Staff of Resurrection
5  8  0  0  3  5  7  13  15  //Staff of Destruction
5  10  0  0  3  5  7  13  15  //Divine Staff of Archangel
7  2  0  0  3  5  7  13  15  //Pad Helm
7  4  0  0  3  5  7  13  15  //Bone Helm
7  7  0  0  3  5  7  13  15  //Sphinx Helm
7  10  0  0  3  5  7  13  15  //Vine Helm
8  2  0  0  3  5  7  13  15  //Pad Armor
8  4  0  0  3  5  7  13  15  //Bone Armor
8  7  0  0  3  5  7  13  15  //Sphinx Armor
8  10  0  0  3  5  7  13  15  //Vine Armor
9  2  0  0  3  5  7  13  15  //Pad Pants
9  4  0  0  3  5  7  13  15  //Bone Pants
9  7  0  0  3  5  7  13  15  //Sphinx Pants
9  10  0  0  3  5  7  13  15  //Vine Pants
10  2  0  0  3  5  7  13  15  //Pad Gloves
10  4  0  0  3  5  7  13  15  //Bone Gloves
10  7  0  0  3  5  7  13  15  //Sphinx Gloves
10  10  0  0  3  5  7  13  15  //Vine Gloves
11  2  0  0  3  5  7  13  15  //Pad Boots
11  4  0  0  3  5  7  13  15  //Bone Boots
11  7  0  0  3  5  7  13  15  //Sphinx Boots
11  10  0  0  3  5  7  13  15  //Vine Boots
end

